         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
        3    0.000    0.000    0.000    0.000 cast.py:761(infer_dtype_from)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:319(expanduser)
        7    0.000    0.000    0.000    0.000 _asarray.py:109(<setcomp>)
        3    0.000    0.000    0.000    0.000 series.py:581(_constructor_from_mgr)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1012(argsort)
        3    0.000    0.000    0.000    0.000 blocks.py:247(make_block)
        3    0.000    0.000    0.000    0.000 range.py:198(_simple_new)
        3    0.000    0.000    0.000    0.000 pathlib.py:630(suffix)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       12    0.000    0.000    0.000    0.000 series.py:653(name)
        9    0.000    0.000    0.000    0.000 config.py:633(_get_root)
        9    0.000    0.000    0.000    0.000 base.py:73(_validate_set_axis)
        3    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.isnaobj}
       57    0.000    0.000    0.000    0.000 __init__.py:43(using_pyarrow_string_dtype)
       22    0.000    0.000    0.000    0.000 construction.py:484(ensure_wrapped_if_datetimelike)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        9    0.000    0.000    0.000    0.000 config.py:686(_warn_if_deprecated)
